eta;momentum;5-1;10-1;1-5-1;10-5-1;1-5-5-1;5-10-1-1;5-5-5-5-1;1-5-10-5-1
0.015625;0.75;51102.56619165286;49649.07502113506;61954.289070318046;52250.42102477866;54292.857937640925;68420.90556866882;54498.0899494649;54600.150660291314
0.03125;0.0;53297.33845291634;50430.97434079901;62001.71391191029;54754.995093151025;54626.59842368245;68420.90556866882;54662.335760892;55076.330749393426
0.03125;0.25;53283.260993060314;50052.50460352084;61991.84161954706;54746.100424591954;54618.46939374222;68420.90556866882;54576.33045123668;55008.61626141211
0.03125;0.5;53253.59162484706;50122.27558948893;61912.003145153765;54457.42687987407;54579.47703974761;68420.90556866882;54072.265320353945;54998.037573869246
0.03125;0.75;52058.57478374816;50329.63130533717;61672.743012516155;54674.288740666634;54143.43813536208;68420.90556866882;54929.88616701517;54790.01969527049
0.0625;0.0;53320.99454659657;53589.39037135487;61698.47445386597;54751.41209661147;54510.978851033535;68420.90556866882;54995.42398074288;54942.26718691357
0.0625;0.25;53333.32498327047;53176.81831511933;61348.36131935634;54729.44307113997;54410.019833934915;68420.90556866882;55120.11395465023;54752.98497802169
0.0625;0.5;52832.715521026694;53106.93712594716;61190.35059487714;54699.70353006281;54197.66730124303;68420.90556866882;54685.02431361055;54412.63253132991
0.0625;0.75;52548.03692090695;53266.90418225889;60652.78794041721;54524.12762758942;53963.34334280131;68420.90556866882;54485.16255921689;54124.276418319394
0.125;0.0;53943.89436158675;53898.5596951664;61274.852557223756;54706.2985722287;54019.45090789926;68420.90556866882;54663.2097156946;54214.528288295274
0.125;0.25;53583.96517288553;53549.18165105541;61082.658163345994;54661.51442642393;53995.7227255499;68420.90556866882;54666.75524375897;54239.67648641736
0.125;0.5;53609.25624534309;53026.28635041789;59391.4815932579;54577.89914796272;53109.293750134624;68420.90556866882;54162.07220941247;53515.668417363035
0.125;0.75;52422.778713092164;53371.38097794769;59383.27215985183;54411.206517641;52279.49154861693;68420.90556866882;53070.896028256204;52929.80859222954
0.25;0.0;52936.32531775326;53291.24438083343;59878.53427354522;54563.89307124512;53031.0535325976;68420.90556866882;53791.21300981955;53429.176889506736
0.25;0.25;52407.62550434201;52556.71754933057;59537.66088757331;54514.7919591758;52711.06048652671;68420.90556866882;53458.790843154056;53319.50258614748
0.25;0.5;52197.993181574486;52430.380551321905;59517.64817733929;54410.43096364035;52882.1421323854;68420.90556866882;52998.67409270555;52493.099433803436
0.25;0.75;52376.85738034209;51374.569157306934;58816.608997149095;54188.51597808552;51315.53515087187;68420.90556866882;52185.73136221607;49880.67402023734
0.5;0.0;50912.80505558904;49215.9965917108;57665.56769672147;54247.295647352345;50834.10814662537;68420.90556866882;53144.994307453475;52184.613670641025
0.5;0.25;51285.10908965068;49533.12381492681;56139.0977846926;54095.223855032156;51591.743301889284;68420.90556866882;52588.618019159774;51455.74745505692
0.5;0.5;49803.45270240713;47274.46204875304;57963.70568893711;53866.74457141239;49646.38869990673;68420.90556866882;51291.14791941266;49917.04627094991
0.5;0.75;47356.13591946129;45829.5809187065;55551.52890372526;52258.81417322914;51105.20454899035;68420.90556866882;51067.319093076156;48552.00668564285
1;0.0;49399.446415211794;43070.22582277507;55684.4334068389;53604.87166755;51801.132175353014;68420.90556866882;51008.82457014505;47530.3368610934
1;0.25;45981.41616940981;nan;67585.42296643787;53189.30335609062;52215.171579108624;68420.90556866882;52104.23967738909;45123.97174459172
1;0.5;44224.95115903596;nan;67547.94111012881;51873.718127582346;51483.448321625605;68420.90556866882;50353.453484682315;63704.87314592907
1;0.75;44327.01537671407;nan;67415.18036196586;51205.02511920317;51114.22879422619;68420.90556866882;50129.629128064604;63624.93132085662
2;0.0;nan;nan;51158.713947786615;52466.847762570986;51560.75470893859;68420.90556866882;60680.89231659935;60606.77298872468
2;0.25;nan;nan;49890.49724524384;52051.2739104814;61828.89579097409;68420.90556866882;61712.25001951162;61452.05621633878
2;0.5;nan;nan;51261.24453579489;51520.9329208086;62158.95578700091;68420.90556866882;62225.18499080405;61791.491441103266
2;0.75;nan;nan;49571.43609627748;49517.909783866984;61391.74689121506;68420.90556866882;61711.06292799048;61636.609910214574
4;0.0;nan;nan;45698.37006556477;48307.578850083824;nan;68420.90556866882;nan;nan
4;0.25;nan;nan;47986.91558098744;49406.91316149611;nan;68420.90556866882;nan;nan
4;0.5;nan;nan;47668.262436426565;48045.13098346975;nan;68420.90556866882;nan;nan
4;0.75;nan;nan;43941.47264002;44527.82979679246;nan;68420.90556866882;nan;nan
