eta,momentum,5-1,10-1,1-5-1,10-5-1,1-5-5-1,5-10-1-1,5-5-5-5-1,1-5-10-5-1
0.000976563,0,2630.60460,628.60445,4093.82050,4131.04721,4877.86956,9553.85227,7816.83365,7817.37905
0.000976563,0.25,370.65556,14.61499,3618.10455,1697.48873,1212.57600,8153.41891,7786.97982,7791.23409
0.000976563,0.5,19.75006,0.06491,3595.43334,512.28819,505.53793,7837.39286,918.18456,1897.83108
0.000976563,0.75,0.05786,0.00057,3592.23533,191.25938,218.63935,7716.12955,232.51954,319.01855
0.001953125,0,0.00416,0.00027,3595.53821,149.59508,244.50216,4066.79564,206.49336,342.41914
0.001953125,0.25,0.00029,0.00013,3596.04294,119.68063,202.33350,2041.39882,153.72254,243.03919
0.001953125,0.5,0.00004,0.00006,3594.41021,95.36200,180.23822,1112.05350,121.76341,187.00110
0.001953125,0.75,0.00001,0.00002,3589.63151,72.14825,153.03001,500.70092,96.74869,182.56742
0.00390625,0,0.00000,0.00001,3595.95566,72.43445,239.31471,398.63720,329.85460,7730.65359
0.00390625,0.25,0.00000,0.00001,3594.73189,63.13693,225.32927,298.05725,199.39451,7790.45215
0.00390625,0.5,0.00000,0.00001,3590.48705,56.33052,212.64341,223.38718,124.69012,7786.32703
0.00390625,0.75,0.00000,0.00000,3584.69166,49.98896,230.11022,211.23129,93.97717,7774.12015
0.0078125,0,4.15595,0.00000,3594.85438,218.64435,329.37844,940.93716,526.50379,7789.12211
0.0078125,0.25,15.65946,0.00000,3592.88642,133.17354,396.76538,925.68415,709.52155,7785.75781
0.0078125,0.5,20.42202,0.00000,3582.03960,105.35416,433.28241,904.19259,671.05886,7774.57767
0.0078125,0.75,383.22640,0.00000,3568.66376,106.75614,438.05319,899.15248,694.80307,7757.93174
