eta,momentum, CrossEntropy, MSE,
0.0078125,0.0,68068.5706206036,60606.73167547131
0.0078125,0.25,68030.08957167628,55800.44595560902
0.0078125,0.5,68019.84286274288,53133.82031864267
0.0078125,0.75,68013.53255904114,51629.95714460029
0.03125,0.0,66579.60695728901,51563.860986143874
0.03125,0.25,54763.573689238365,52985.87053008373
0.03125,0.5,53870.679376722816,51954.22321599315
0.03125,0.75,54283.29833099745,54091.283962303096
0.125,0.0,54290.58351346034,54219.01960180187
0.125,0.25,54307.64605964161,54123.317249547305
0.125,0.5,54286.5892662057,53917.50128748549
0.125,0.75,54239.71853185766,54157.495507854044
0.25,0.0,54272.55706065241,54916.5725482401
0.25,0.25,53959.34602685601,54918.43519561203
0.25,0.5,54938.7814520589,54371.46196857841
0.25,0.75,54714.499489272566,54581.42059780271
0.5,0.0,54831.02492827069,54635.36555063768
0.5,0.25,54803.41771788802,54687.11684409247
0.5,0.5,54657.45807820461,54124.129714153816
0.5,0.75,54668.48862112521,53935.49946588076
1,0.0,55256.32822653712,52581.2048440649
1,0.25,54119.64090711057,53319.35278332385
1,0.5,54033.087038888836,52506.868067746356
1,0.75,52907.497041881514,51537.64992342928
2,0.0,57664.036339593746,49750.357521680016
2,0.25,nan,nan
2,0.5,nan,nan
2,0.75,nan,nan
