eta,momentum,Sigmoid, TanH, ReLU
0.0078125,0.0,62295.936910770804,60612.124430838114,66366.58267695936
0.0078125,0.25,62233.71195643065,60569.11507244232,68420.90556866882
0.0078125,0.5,62169.69274054091,60591.73055945409,68420.90556866882
0.0078125,0.75,61993.352172184335,60722.53527350076,68420.90556866882
0.03125,0.0,62085.83212833341,nan,68420.90556866882
0.03125,0.25,62020.281693111945,nan,68420.90556866882
0.03125,0.5,61890.88210835219,nan,68420.90556866882
0.03125,0.75,61681.24713974408,nan,68420.90556866882
0.125,0.0,61356.35285444547,nan,68420.90556866882
0.125,0.25,61114.66895575918,nan,68420.90556866882
0.125,0.5,60523.790629672025,nan,68420.90556866882
0.125,0.75,59061.74926698043,nan,68420.90556866882
0.25,0.0,59029.35626083551,nan,68420.90556866882
0.25,0.25,58780.60026372519,nan,68420.90556866882
0.25,0.5,59235.03903755213,nan,68420.90556866882
0.25,0.75,58325.79296287208,nan,68420.90556866882
0.5,0.0,57308.869788404285,nan,68420.90556866882
0.5,0.25,57924.35238890689,nan,68420.90556866882
0.5,0.5,57004.856672418726,nan,68420.90556866882
0.5,0.75,55914.162995375416,nan,68420.90556866882
1,0.0,67599.16566013523,nan,68420.90556866882
1,0.25,67628.73223462935,nan,68420.90556866882
1,0.5,67508.00399095097,nan,68420.90556866882
1,0.75,67354.60418858631,nan,68420.90556866882
2,0.0,67224.53600522957,nan,68420.90556866882
2,0.25,52502.98977401978,nan,68420.90556866882
2,0.5,49582.058380278846,nan,68420.90556866882
2,0.75,47267.61601089128,nan,68420.90556866882
