eta,momentum,Sigmoid, TanH, ReLU
0.0078125,0.0,0.0007262160841333734,12448.43698234811,15047.96893887638
0.0078125,0.25,4.6173938986313474e-05,12368.416645222313,15050.158624684136
0.0078125,0.5,9.025288378234164e-06,12327.90145492921,15038.44757060868
0.0078125,0.75,1.97447467236036e-06,12211.980540594,15034.512038144489
0.03125,0.0,88.84312174820032,11925.039610974423,15034.505470808992
0.03125,0.25,718.9191180485727,11809.297485551402,nan
0.03125,0.5,937.4122942349513,11545.912405877812,nan
0.03125,0.75,989.5491329261424,11100.844371815925,nan
0.125,0.0,1098.21032425931,11045.853745090586,nan
0.125,0.25,1187.559241926807,10864.732588366749,nan
0.125,0.5,1156.6853320724829,nan,nan
0.125,0.75,975.8913645818958,nan,nan
0.25,0.0,1101.3484243180637,nan,nan
0.25,0.25,965.1147510835193,nan,nan
0.25,0.5,1024.766678950191,nan,nan
0.25,0.75,1073.8144828716395,nan,nan
0.5,0.0,894.9397775345408,nan,nan
0.5,0.25,992.415715819388,nan,nan
0.5,0.5,881.5129799713079,nan,nan
0.5,0.75,881.4247949504145,nan,nan
1,0.0,15352.071185920993,nan,nan
1,0.25,844.534106603883,nan,nan
1,0.5,834.1750071320582,nan,nan
1,0.75,843.2864868250944,nan,nan
2,0.0,nan,nan,nan
2,0.25,nan,nan,nan
2,0.5,nan,nan,nan
2,0.75,nan,nan,nan
